player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Jerreth Sterns,102597,WR,W KENTUCKY,14,186,0,346,0,-2.0,13,95.7,,0,0,0.0,0,27,0,99.9,99.9,0,33,0.0,0,120,66,98.3,118,108.5,69,37.1,4,372,506,7.7,5.6,3.15,6.4,24,80.2,57.9,11,19,2.1,3,80,0,98.4,92.2,2,74,0.3,2,632,138,93.8,593,130.2,172,92.5,13,1784,1056,7.7,12.9,3.01
Deven Thompkins,84480,WR,UTAH ST,14,161,0,329,0,-1.9,4,100.0,,0,0,0.0,0,4,0,99.9,62.2,0,75,0.0,0,70,22,97.1,68,111.9,22,13.7,1,159,200,9.1,7.2,2.34,15.8,6,64.7,44.8,13,29,5.4,5,55,0,86.8,88.8,5,75,0.0,0,479,88,94.2,451,109.4,136,84.5,9,1523,436,5.0,17.3,3.38
Jordan Addison,123000,WR,PITTSBURGH,14,144,0,268,0,-3.3,10,90.9,0.0,0,2,3.2,1,9,0,95.7,96.9,0,47,0.0,0,52,30,100.0,52,118.4,33,22.9,3,170,268,8.9,5.7,3.27,10.1,16,71.6,50.0,8,16,10.5,8,41,0,65.2,89.1,2,67,0.0,0,385,68,94.8,365,136.0,95,66.0,12,991,457,6.7,14.6,2.72
Josh Downs,122832,WR,N CAROLINA,13,144,0,245,0,-2.8,5,85.3,0.0,0,1,9.4,3,7,0,66.8,91.0,0,37,0.0,0,56,29,100.0,56,104.9,34,23.6,1,232,315,10.9,8.0,4.14,8.6,14,69.9,25.0,3,12,8.7,9,55,0,63.5,87.1,4,63,0.0,0,480,95,95.4,458,105.7,136,94.4,8,1243,696,7.3,13.1,2.71
Wan'Dale Robinson,101735,WR,KENTUCKY,13,140,0,202,0,-2.7,13,89.7,40.0,2,5,2.8,1,13,0,98.0,98.3,0,79,0.0,0,58,35,100.0,58,112.4,39,27.9,2,268,359,10.3,7.7,4.62,9.3,13,76.0,58.3,7,12,7.6,6,41,0,81.1,89.8,3,79,0.0,0,279,73,96.1,268,106.5,96,68.6,4,925,423,5.8,12.7,3.45
Makai Polk,100647,WR,MISS STATE,13,139,0,227,0,-1.3,4,96.6,,0,0,3.4,1,9,1,95.2,52.3,0,17,0.0,0,116,28,97.4,113,85.3,29,20.9,0,130,166,5.9,4.6,1.15,23.0,0,100.0,100.0,1,1,0.0,0,2,0,81.5,69.4,0,42,0.0,0,38,3,94.7,36,118.8,3,2.2,0,87,18,6.0,29.0,2.42
Tank Dell,78874,WR,HOUSTON,14,139,0,182,0,-2.5,7,94.4,,0,0,5.6,1,8,0,83.5,89.2,0,51,0.0,0,55,17,96.4,53,109.0,18,12.9,0,183,230,13.5,10.8,3.45,11.2,10,65.8,40.0,4,10,10.3,6,39,0,54.8,88.7,2,55,0.0,0,244,52,95.1,232,125.2,79,56.8,10,744,330,6.3,14.3,3.21
Jahan Dotson,84375,WR,PENN STATE,12,137,0,266,0,-1.6,4,96.3,100.0,1,1,0.0,0,10,0,99.9,79.7,0,25,0.0,0,82,26,97.6,80,99.4,27,19.7,1,132,175,6.7,5.1,1.65,10.5,5,64.4,33.3,1,3,0.0,0,20,0,96.1,89.7,2,49,0.0,0,115,29,93.9,108,108.6,45,32.8,5,370,116,4.0,12.8,3.43
Josh Johnson,61329,WR,TULSA,13,135,0,320,0,-2.9,0,100.0,,0,0,0.0,0,1,0,96.5,64.8,0,11,0.0,0,21,9,90.5,19,83.3,9,6.7,0,36,62,6.9,4.0,1.89,11.7,7,63.0,50.0,9,18,8.6,8,50,0,75.6,81.3,9,63,0.0,0,469,85,92.3,433,75.9,135,100.0,6,1113,362,4.3,13.1,2.57
David Bell,97989,WR,PURDUE,11,133,0,273,0,-1.7,6,91.7,,0,0,8.3,1,3,0,69.2,68.6,0,30,0.0,0,56,11,100.0,56,123.3,12,9.0,1,83,109,9.9,7.5,1.48,6.3,6,78.3,33.3,1,3,5.3,1,9,0,78.7,86.5,0,30,0.0,0,80,18,96.3,77,127.9,23,17.3,2,178,110,6.1,9.9,2.31
Jalen Tolbert,61637,WR,S ALABAMA,12,129,0,288,0,-2.0,4,95.2,,0,0,0.0,0,7,0,99.9,81.4,0,19,0.0,0,69,20,98.6,68,94.2,21,16.3,0,139,177,8.9,7.0,2.04,14.4,3,55.6,50.0,4,8,16.7,4,14,1,60.6,77.2,1,68,0.0,0,164,20,95.7,157,99.1,36,27.9,2,378,172,8.6,18.9,2.41
John Metchie III,97400,WR,ALABAMA,13,128,0,103,0,-3.0,11,100.0,,0,0,0.0,0,7,0,99.9,89.6,0,41,0.0,0,64,33,98.4,63,95.3,33,25.8,0,227,325,9.8,6.9,3.6,9.6,7,79.2,80.0,4,5,6.7,3,22,0,77.1,84.8,1,40,0.0,0,164,42,95.7,157,134.6,53,41.4,5,564,320,7.6,13.4,3.59
Hassan Beydoun,78185,WR,E MICHIGAN,13,126,0,160,0,-2.0,2,100.0,100.0,1,1,0.0,0,8,1,98.6,92.2,0,44,0.0,0,36,14,97.2,35,138.7,14,11.1,2,109,137,9.8,7.8,3.11,8.4,7,74.8,68.2,15,22,6.3,6,47,1,76.4,75.5,1,64,0.0,0,419,89,97.6,409,98.5,119,94.4,2,915,376,4.2,10.3,2.24
A.T. Perry,77975,WR,WAKE,14,125,0,339,0,,0,,,0,0,,0,0,0,,39.8,0,0,0.0,0,31,0,90.3,28,0.0,0,0.0,0,0,0,,,0.0,20.0,3,66.7,0.0,0,2,14.3,1,6,0,60.2,87.1,0,46,0.0,0,49,6,95.9,47,146.8,9,7.2,1,125,37,6.2,20.8,2.66
Skyy Moore,97116,WR,W MICHIGAN,12,125,0,347,0,-2.1,8,100.0,,0,0,0.0,0,4,0,99.9,90.5,0,16,0.0,0,35,18,100.0,35,88.4,18,14.4,0,94,132,7.3,5.2,2.69,9.3,15,77.8,50.0,4,8,3.9,2,31,0,83.9,92.6,2,34,0.0,0,140,49,95.7,134,104.1,63,50.4,3,526,220,4.5,10.7,3.93
Calvin Turner Jr.,109028,WR,HAWAII,13,124,0,180,0,-3.3,10,86.4,,0,0,9.5,2,6,0,65.0,93.1,0,18,0.0,0,52,19,94.2,49,86.2,22,17.7,0,103,167,8.8,5.4,2.1,11.7,14,57.3,42.9,3,7,14.5,8,27,0,36.2,73.3,3,37,0.0,0,384,47,97.4,374,80.6,82,66.1,4,586,254,5.4,12.5,1.57
Dante Cephas,97665,WR,KENT STATE,14,123,0,201,0,-1.1,3,87.5,0.0,0,1,6.7,1,6,1,77.3,58.7,0,14,0.0,0,71,14,100.0,71,95.3,16,13.0,0,110,126,9.0,7.9,1.55,18.1,1,60.0,0.0,0,1,14.3,1,6,0,69.8,73.7,0,80,0.0,0,48,6,100.0,48,143.8,10,8.1,3,191,98,16.3,31.8,3.98
