player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Amari Cooper,9437,WR,ALABAMA,14,174,0,103,0,-2.8,5,96.3,,0,0,3.7,1,0,0,93.5,93.9,0,52,0.0,0,61,26,100.0,61,113.7,27,15.5,1,225,297,11.4,8.7,3.69,16.3,5,68.6,,0,0,0.0,0,0,0,79.3,92.6,1,79,0.0,0,87,24,92.0,80,137.5,35,20.1,4,474,178,7.4,19.8,5.93
Justin Hardy,9540,WR,E CAROLINA,13,167,0,156,0,-2.1,4,80.0,,0,0,7.7,1,0,0,74.9,76.9,0,66,0.0,0,75,12,97.3,73,107.2,15,9.0,0,146,173,14.4,12.2,2.0,9.9,13,72.2,,0,0,4.9,4,0,1,91.2,91.0,2,66,0.0,0,423,78,95.3,403,112.0,108,64.7,6,1009,450,5.8,12.9,2.5
Vince Mayle,9556,WR,WASH STATE,12,163,0,341,0,-1.3,10,93.5,,0,0,6.5,2,0,0,83.3,92.2,0,45,0.0,0,84,29,97.6,82,98.5,31,19.0,0,237,274,9.4,8.2,2.89,-4.7,3,100.0,,0,0,0.0,0,0,0,44.7,79.0,0,4,0.0,0,4,3,100.0,4,79.2,3,1.8,0,7,21,7.0,2.3,1.75
Kevin White,9440,WR,W VIRGINIA,13,160,0,343,0,-1.9,13,94.4,,0,0,0.0,0,0,1,99.9,71.8,0,44,0.0,0,102,34,100.0,102,104.1,36,22.5,1,243,309,9.1,7.1,2.38,7.2,6,75.0,,0,0,0.0,0,0,1,80.1,74.5,0,45,0.0,0,45,15,91.1,41,97.7,20,12.5,0,159,117,7.8,10.6,3.88
Nelson Spruce,11199,WR,COLORADO,12,155,0,143,0,-1.5,1,83.3,,0,0,0.0,0,1,0,97.1,68.4,0,12,0.0,0,51,10,98.0,50,82.6,12,7.7,0,46,63,6.3,4.6,0.92,9.9,1,66.7,,0,0,20.0,2,0,0,96.0,79.4,0,70,0.0,0,40,8,90.0,36,137.5,12,7.7,1,165,90,11.3,20.6,4.58
Keevan Lucas,47572,WR,TULSA,12,155,0,320,0,-2.7,6,96.6,,0,0,3.4,1,1,0,94.9,92.0,0,21,0.0,0,59,28,100.0,59,88.2,29,18.7,0,150,227,8.1,5.4,2.54,8.4,14,66.2,,0,0,9.3,10,2,1,63.4,82.4,4,84,0.0,0,485,98,95.3,462,104.7,148,95.5,11,1206,667,6.8,12.3,2.61
Jaelen Strong,9503,WR,ARIZONA ST,12,152,0,110,0,-1.3,0,88.2,,0,0,6.3,1,0,0,79.6,73.0,0,17,0.0,0,51,15,100.0,51,90.2,17,11.2,0,96,121,8.1,6.4,1.88,13.7,3,62.2,,0,0,3.4,1,1,0,70.7,90.1,2,77,0.0,0,115,28,96.5,111,117.8,45,29.6,6,462,214,7.6,16.5,4.16
Jamison Crowder,9538,WR,DUKE,13,149,0,154,0,-2.8,5,88.0,,0,0,12.0,3,0,1,56.9,63.9,0,13,0.0,0,63,22,96.8,61,88.2,25,16.8,0,129,194,8.8,5.9,2.11,5.7,1,73.1,,0,0,5.0,1,1,0,57.6,73.6,0,43,0.0,0,82,19,93.9,77,111.4,26,17.4,1,222,154,8.1,11.7,2.88
Josh Harper,9979,WR,FRESNO ST,14,149,0,169,0,-3.0,1,92.3,,0,0,0.0,0,0,0,98.1,57.7,0,14,0.0,0,68,12,98.5,67,84.3,13,8.7,0,55,93,7.8,4.6,0.82,15.6,2,47.4,,0,0,25.0,3,0,0,75.0,75.9,1,52,0.0,0,72,9,97.2,70,47.3,19,12.8,0,126,38,4.2,14.0,1.8
Tyler Lockett,9502,WR,KANSAS ST,13,147,0,199,0,-2.2,3,100.0,,0,0,0.0,0,0,0,98.1,78.8,0,23,0.0,0,32,13,100.0,32,98.4,13,8.8,0,99,127,9.8,7.6,3.09,6.7,3,74.1,,0,0,0.0,0,0,0,82.6,93.8,1,30,0.0,0,68,20,95.6,65,81.9,27,18.4,0,217,139,7.0,10.9,3.34
