player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Preston Williams,38855,WR,COLO STATE,12,166,0,144,0,-1.2,1,90.5,,0,0,0.0,0,6,1,99.9,80.4,0,19,0.0,0,53,19,98.1,52,87.5,21,12.7,0,105,128,6.7,5.5,2.02,10.2,4,71.9,100.0,1,1,4.2,1,14,0,83.4,90.8,2,34,0.0,0,71,23,98.6,70,91.0,32,19.3,2,263,58,2.5,11.4,3.76
Trevon Brown,28281,WR,E CAROLINA,12,163,0,156,0,-3.0,2,90.0,,0,0,10.0,1,0,0,62.8,47.5,0,7,0.0,0,42,9,97.6,41,79.2,10,6.1,0,12,39,4.3,1.3,0.29,8.4,4,56.3,0.0,0,4,0.0,0,5,1,72.4,77.2,0,22,0.0,0,62,9,95.2,59,69.0,16,9.8,0,77,54,6.0,8.6,1.31
Rondale Moore,62890,WR,PURDUE,13,154,0,273,0,-2.7,14,87.0,0.0,0,1,6.0,3,15,0,96.5,98.7,0,43,0.0,0,89,47,95.5,85,118.9,54,35.1,5,277,402,8.6,5.9,3.26,5.6,37,73.4,40.0,4,10,5.6,6,50,0,85.1,92.2,4,70,0.0,0,468,102,93.2,436,112.3,139,90.3,11,1157,808,7.9,11.3,2.65
Tylan Wallace,61577,WR,OKLA STATE,13,149,0,262,0,-1.7,1,100.0,,0,0,0.0,0,2,0,93.6,49.8,0,13,0.0,0,77,6,94.8,73,88.2,6,4.0,0,31,41,6.8,5.2,0.42,16.9,0,66.7,50.0,2,4,0.0,0,7,1,67.4,89.0,0,29,0.0,0,62,10,95.2,59,135.6,15,10.1,2,138,37,3.7,13.8,2.34
Andy Isabella,47448,WR,UMASS,12,146,0,216,0,-1.5,2,95.2,0.0,0,1,0.0,0,10,0,99.9,99.2,0,61,0.0,0,34,20,100.0,34,117.3,21,14.4,1,175,206,10.3,8.8,5.15,10.6,7,62.3,33.3,3,9,5.7,2,22,1,91.2,95.5,2,25,0.0,0,183,33,94.5,173,78.3,53,36.3,1,429,166,5.0,13.0,2.48
John Ursua,26586,WR,HAWAII,13,145,0,180,0,-1.8,2,100.0,,0,0,0.0,0,0,0,95.2,50.2,0,9,0.0,0,49,8,98.0,48,79.2,8,5.5,0,19,33,4.1,2.4,0.4,12.4,14,60.2,45.0,9,20,12.1,11,52,1,44.3,73.2,2,80,0.0,0,583,80,95.4,556,122.9,133,91.7,15,1258,514,6.4,15.7,2.26
James Proche,48037,WR,SMU,12,143,0,287,0,-3.0,4,95.5,,0,0,0.0,0,6,1,99.9,73.5,0,59,0.0,0,77,21,98.7,76,107.8,22,15.4,1,137,199,9.5,6.5,1.8,9.7,8,66.3,37.5,3,8,3.1,2,40,1,83.6,88.1,4,67,0.0,0,338,63,95.0,321,102.4,95,66.4,8,788,363,5.8,12.5,2.45
Tyre Brady,41818,WR,MARSHALL,13,143,0,214,0,-1.6,2,93.3,,0,0,6.7,1,5,0,79.6,80.6,0,19,0.0,0,44,14,95.5,42,90.8,15,10.5,0,87,107,7.6,6.2,2.07,9.9,0,45.8,50.0,2,4,26.7,4,9,0,69.5,80.3,1,33,0.0,0,59,11,96.6,57,62.7,24,16.8,1,149,62,5.6,13.5,2.61
Jalen Reagor,61697,WR,TCU,13,131,0,305,0,-1.8,8,85.7,,0,0,4.0,1,8,0,92.2,81.7,1,65,0.0,0,86,24,98.8,85,94.0,28,21.4,1,204,253,10.5,8.5,2.4,5.4,1,65.4,33.3,1,3,10.5,2,5,0,72.3,82.8,1,40,0.0,0,72,17,97.2,70,72.0,26,19.8,1,116,96,5.6,6.8,1.66
Dillon Mitchell,42338,WR,OREGON,13,130,0,264,0,-2.6,2,87.5,,0,0,0.0,0,3,0,94.5,62.9,0,34,0.0,0,51,7,98.0,50,153.1,8,6.2,1,90,108,15.4,12.9,1.8,16.3,3,61.3,25.0,2,8,9.5,2,14,0,59.7,86.0,0,67,0.0,0,100,19,96.0,96,112.0,31,23.8,1,358,90,4.7,18.8,3.73
