player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Tajae Sharpe,10774,WR,UMASS,12,177,0,216,0,-2.6,0,100.0,,0,0,0.0,0,4,0,95.9,70.8,0,14,0.0,0,45,9,97.8,44,89.4,9,5.1,0,49,72,8.0,5.4,1.11,6.2,5,70.1,,0,0,2.1,1,24,0,92.9,88.2,3,31,0.6,1,172,47,94.8,163,68.9,67,37.9,1,354,179,3.8,7.5,2.17
Keyarris Garrett,11008,WR,TULSA,13,161,0,320,0,-0.3,4,90.9,,0,0,0.0,0,3,0,97.1,63.1,0,17,0.0,0,45,10,95.6,43,89.4,11,6.8,0,60,63,6.3,6.0,1.4,20.5,4,45.5,,0,0,16.7,1,3,0,87.4,81.9,1,44,0.0,0,31,5,96.8,30,41.5,11,6.8,0,104,31,6.2,20.8,3.47
Gabe Marks,12245,WR,WASH STATE,13,148,0,341,0,-1.5,4,95.2,,0,0,0.0,0,8,0,99.9,77.4,0,43,0.0,0,72,20,100.0,72,131.9,21,14.2,2,169,201,10.1,8.5,2.35,10.8,0,90.9,,0,0,0.0,0,7,0,84.7,79.4,0,39,0.0,0,50,10,100.0,50,149.1,11,7.4,1,159,67,6.7,15.9,3.18
Aaron Burbridge,10847,WR,MICH STATE,14,146,0,223,0,-4.0,2,100.0,,0,0,0.0,0,3,1,95.2,57.4,0,11,0.0,0,32,8,96.9,31,84.9,8,5.5,0,35,67,8.4,4.4,1.13,11.6,0,60.0,,0,0,14.3,3,14,0,41.4,79.7,0,29,0.0,0,86,18,96.5,83,89.6,30,20.5,0,270,48,2.7,15.0,3.25
Richie James Jr.,28991,WR,MIDDLE TN,13,142,0,224,0,-4.0,13,89.8,,0,0,1.9,1,22,0,99.9,99.9,0,42,0.0,0,103,53,98.1,101,104.4,59,41.5,1,454,668,12.6,8.6,4.5,6.2,17,74.0,,0,0,5.2,5,51,1,81.7,93.4,3,69,0.0,0,360,91,97.5,351,112.1,123,86.6,7,1168,791,8.7,12.8,3.33
Jordan Williams-Lambert,11238,WR,BALL ST,12,137,0,117,0,-1.4,1,100.0,,0,0,0.0,0,3,0,92.6,63.9,0,36,0.0,0,48,5,95.8,46,158.3,5,3.6,1,78,85,17.0,15.6,1.7,2.0,0,100.0,,0,0,0.0,0,0,0,56.4,72.4,0,2,0.0,0,7,1,85.7,6,79.2,1,0.7,0,2,0,0.0,2.0,0.33
Thomas Sperbeck,47487,WR,BOISE ST,13,137,0,120,0,-1.5,0,100.0,,0,0,0.0,0,0,0,86.7,38.3,0,2,0.0,0,56,2,100.0,56,79.2,2,1.5,0,1,4,2.0,0.5,0.02,15.7,4,71.2,,0,0,5.1,2,26,1,69.6,82.3,0,85,0.0,0,192,37,95.3,183,151.9,52,38.0,6,714,284,7.7,19.3,3.9
Corey Davis,11760,WR,W MICHIGAN,13,137,0,347,0,-1.9,6,100.0,,0,0,0.0,0,8,0,99.9,95.6,0,76,0.0,0,54,20,98.1,53,156.9,20,14.6,3,243,281,14.1,12.2,4.58,11.2,3,53.1,,0,0,15.0,3,12,0,74.3,91.0,0,65,0.0,0,84,17,95.2,80,103.5,32,23.4,2,279,116,6.8,16.4,3.49
Daniel Braverman,10864,WR,W MICHIGAN,13,135,0,347,0,-2.8,0,95.8,,0,0,0.0,0,7,0,99.9,79.1,0,14,0.0,0,57,23,100.0,57,84.2,24,17.8,0,101,163,7.1,4.4,1.77,7.5,24,79.1,,0,0,6.2,7,66,1,82.9,92.6,3,68,0.0,0,442,106,94.8,419,132.3,134,99.3,13,1370,711,6.7,12.9,3.27
De'Marcus Ayers,10863,WR,HOUSTON,14,133,0,182,0,-2.0,10,92.1,,0,0,0.0,0,9,2,99.9,92.8,1,67,0.0,0,63,35,100.0,63,91.8,38,28.6,1,249,346,9.9,7.1,3.95,8.5,18,73.4,,0,0,2.2,2,50,2,95.5,90.1,3,67,0.0,0,444,91,96.8,430,108.8,124,93.2,6,1176,648,7.1,12.9,2.73
