player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Zay Jones,11792,WR,E CAROLINA,12,216,0,156,0,-2.6,7,96.8,,0,0,0.0,0,7,0,99.9,73.5,0,12,2.5,2,80,30,96.3,77,95.2,31,14.4,1,132,211,7.0,4.4,1.71,6.4,10,78.0,,0,0,3.0,2,31,0,95.3,93.2,0,51,0.5,1,190,64,94.2,179,114.0,82,38.0,4,611,368,5.8,9.5,3.41
Trent Taylor,11932,WR,LA TECH,14,171,0,208,0,-1.7,2,93.9,,0,0,6.1,2,13,0,85.3,79.1,0,35,0.0,0,85,31,98.8,84,131.2,33,19.3,3,271,324,10.5,8.7,3.23,7.1,17,80.4,,0,0,3.0,4,76,2,95.9,91.2,2,76,0.0,0,545,131,96.9,528,128.4,163,95.3,11,1734,1025,7.8,13.2,3.28
Noel Thomas,12191,WR,UCONN,12,163,0,146,0,-2.8,3,94.1,,0,0,0.0,0,5,2,99.5,67.4,0,18,0.0,0,44,16,97.7,43,84.8,17,10.4,0,74,117,7.3,4.6,1.72,7.0,15,70.9,,0,0,6.4,5,35,2,80.1,87.0,2,62,0.0,0,327,73,96.3,315,84.9,103,63.2,1,706,400,5.5,9.7,2.24
Richie James Jr.,28991,WR,MIDDLE TN,13,161,0,224,0,-2.4,8,92.0,,0,0,4.2,1,10,0,91.5,75.5,0,38,0.0,0,103,23,95.1,98,125.3,25,15.5,2,192,252,11.0,8.3,1.96,9.2,17,66.2,,0,0,7.1,7,59,0,82.7,90.2,5,56,0.2,1,504,92,94.6,477,104.2,139,86.3,9,1347,652,7.1,14.6,2.82
Taywan Taylor,11827,WR,W KENTUCKY,14,146,0,346,0,-2.0,0,89.5,,0,0,10.5,2,6,0,60.0,67.6,1,21,0.0,0,62,17,95.2,59,73.5,19,13.0,0,131,165,9.7,7.7,2.22,10.2,3,75.0,,0,0,4.5,1,10,1,69.3,89.7,0,70,0.0,0,76,21,93.4,71,127.7,28,19.2,1,344,170,8.1,16.4,4.85
Chad Hansen,11896,WR,CAL,10,144,0,130,0,-1.7,1,93.8,,0,0,0.0,0,6,0,99.1,62.5,0,34,0.0,0,77,15,97.4,75,117.7,16,11.1,1,116,141,9.4,7.7,1.55,10.0,0,0.0,,0,0,,0,0,0,81.6,89.3,0,0,0.0,0,11,0,90.9,10,39.6,2,1.4,0,0,0,,,0.0
Amba Etta-Tawo,12034,WR,SYRACUSE,12,143,0,304,0,-1.2,4,92.3,,0,0,0.0,0,11,0,99.9,79.6,0,49,0.0,0,111,24,96.4,107,136.1,26,18.2,3,193,219,9.1,8.0,1.8,20.1,0,43.8,,0,0,12.5,1,4,0,84.7,73.6,2,81,0.0,0,107,7,92.5,99,83.3,16,11.2,2,172,52,7.4,24.6,1.74
Mike Williams,11762,WR,CLEMSON,15,141,0,140,0,-1.6,7,100.0,,0,0,0.0,0,4,0,98.6,69.1,0,16,0.0,0,75,14,98.7,74,111.9,14,9.9,1,72,95,6.8,5.1,0.97,15.1,0,71.4,,0,0,0.0,0,4,0,86.8,93.5,1,31,0.0,0,24,5,100.0,24,107.4,7,5.0,2,77,8,1.6,15.4,3.21
Kenny Golladay,11851,WR,N ILLINOIS,12,141,0,254,0,3.4,0,60.0,,0,0,25.0,1,0,0,22.1,36.4,0,6,0.0,0,32,3,100.0,32,64.6,5,3.5,0,6,11,3.7,2.0,0.19,12.2,0,84.6,,0,0,0.0,0,6,0,89.5,81.9,0,49,0.0,0,29,11,96.6,28,140.4,13,9.2,1,150,35,3.2,13.6,5.36
K.D. Cannon,12241,WR,BAYLOR,12,139,0,118,0,-0.1,1,95.0,,0,0,0.0,0,5,0,99.9,71.8,0,12,0.0,0,47,19,100.0,47,86.0,20,14.4,0,93,95,5.0,4.9,1.98,10.3,5,68.4,,0,0,0.0,0,5,0,66.8,76.1,1,59,0.0,0,72,13,94.4,68,85.6,19,13.7,1,141,76,5.8,10.8,2.07
Linell Bonner,38628,WR,HOUSTON,12,138,0,182,0,-1.3,3,96.3,,0,0,0.0,0,5,0,99.9,81.6,0,14,0.0,0,62,26,100.0,62,88.6,27,19.6,0,142,178,6.8,5.5,2.29,8.9,5,71.0,,0,0,1.1,1,54,1,97.3,87.0,6,55,0.0,0,483,93,96.1,464,84.7,131,94.9,3,1099,486,5.2,11.8,2.37
