player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Michael McFarlane,54545,TE,COAST CAR,10,1,0,141,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,42.6,0,6,14.3,1,7,1,85.7,6,91.7,1,100.0,0,6,8,8.0,6.0,1.0,,0,,,0,0,,0,0,0,66.7,48.7,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Brandon LaBrie,77805,WR,MIAMI OH,6,1,0,221,0,,0,,,0,0,,0,0,0,,49.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,51.4,0,0,0.0,0,17,0,94.1,16,0.0,0,0.0,0,0,0,,,0.0
Alec Burton,77884,TE,OHIO,6,1,0,259,0,,0,,,0,0,,0,0,0,,52.0,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,55.2,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0
Brenden Bates,53746,TE,KENTUCKY,2,1,0,202,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,57.0,0,0,0.0,0,1,0,0.0,0,0.0,0,0.0,0,0,0,,,
Fred Lloyd Jr.,52300,TE,USF,6,1,0,327,0,,0,,,0,0,,0,0,0,,43.2,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,25.0,0,0.0,0.0,0,1,100.0,1,0,0,16.8,44.1,0,0,0.0,0,8,0,100.0,8,39.6,1,100.0,0,0,0,,,0.0
Aaron Jarman,77894,TE,TEMPLE,10,1,0,306,0,,0,,,0,0,,0,0,0,,47.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,69.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Cole Burniston,77910,TE,BUFFALO,2,1,0,126,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,66.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Davis Mills,52269,QB,STANFORD,8,1,0,300,0,,0,,,0,0,,0,0,0,,,0,0,0.0,0,56,0,0.0,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jonathan Sanchez,52208,TE,RICE,1,1,0,275,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Calvin Tyler Jr.,52133,HB,OREGON ST,2,1,0,265,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,64.8,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
B.J. Baylor,52122,HB,OREGON ST,10,1,0,265,0,,0,,,0,0,,0,0,0,,48.6,0,0,20.0,1,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,70.7,51.8,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Jehlani Galloway,77971,WR,BOSTON COL,2,1,0,121,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,6.0,0,0.0,,0,0,,0,0,0,,55.4,0,0,0.0,0,3,0,100.0,3,39.6,1,100.0,0,0,0,,,0.0
Isaiah Isaac,77972,WR,WAKE,1,1,0,339,0,-3.0,0,100.0,,0,0,0.0,0,0,0,81.5,61.6,0,1,0.0,0,1,1,100.0,1,79.2,1,100.0,0,1,4,4.0,1.0,1.0,-3.0,0,100.0,,0,0,0.0,0,0,0,66.7,57.1,0,1,0.0,0,4,1,100.0,4,79.2,1,100.0,0,1,4,4.0,1.0,0.25
Dennis Smith,77996,WR,DUKE,4,1,0,154,0,,0,,,0,0,,0,0,0,,51.6,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,51.2,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Kumonde Hines,49750,ED,TEXAS ST,1,1,0,314,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Ashtyn Davis,49560,S,CAL,1,1,0,130,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,38.0,0,0.0,0.0,0,1,,0,0,0,,56.8,0,0,0.0,0,1,0,100.0,1,39.6,1,100.0,0,0,0,,,0.0
Darryle Simmons,78009,WR,VA TECH,1,1,0,337,0,0.0,0,100.0,,0,0,0.0,0,0,0,81.5,63.7,0,0,0.0,0,1,1,100.0,1,79.2,1,100.0,0,0,0,0.0,0.0,0.0,,0,,,0,0,,0,0,0,66.7,60.4,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Thomas Mattioni,78035,WR,TEMPLE,1,1,0,306,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,5.0,0,100.0,,0,0,0.0,0,0,0,70.7,61.2,0,5,0.0,0,1,1,100.0,1,87.5,1,100.0,0,5,0,0.0,5.0,5.0
Jordan Smith,78037,WR,TEMPLE,4,1,0,306,0,,0,,,0,0,,0,0,0,,51.2,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,54.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Wyatt Fischer,78043,WR,CINCINNATI,4,1,0,138,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,70.7,56.6,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Ke'von Ahmad,78049,WR,UCF,5,1,0,323,0,,0,,,0,0,,0,0,0,,48.2,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,55.2,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jonathan Johnson,78081,WR,E CAROLINA,2,1,0,156,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,-2.0,0,100.0,,0,0,0.0,0,0,0,70.7,57.3,0,6,0.0,0,1,1,100.0,1,91.7,1,100.0,0,6,8,8.0,6.0,6.0
Brady White,25506,QB,MEMPHIS,14,1,0,218,0,,0,,,0,0,,0,0,1,,,0,0,0.0,0,82,0,0.0,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,70.7,90.2,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Zach Saum,47060,T,ARMY,9,1,0,114,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,56.1,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jackson Gleeson,78091,WR,BAYLOR,2,1,0,118,0,,0,,,0,0,,0,0,0,,51.6,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,7.0,0,0.0,,0,0,,0,0,0,,53.7,0,0,0.0,0,3,0,100.0,3,39.6,1,100.0,0,0,0,,,0.0
Randy Fields Jr.,78120,WR,W VIRGINIA,4,1,0,343,0,,0,,,0,0,,0,0,0,,49.9,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,4.0,0,100.0,,0,0,0.0,0,0,0,66.7,52.8,0,6,0.0,0,11,1,100.0,11,91.7,1,100.0,0,6,2,2.0,6.0,0.55
Zacc Weldon,45632,FB,TROY,11,1,0,318,0,,0,,,0,0,,0,0,0,,45.8,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,52.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Noah Massey,78153,WR,BOWL GREEN,2,1,0,122,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,67.7,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Dexter Carter Jr.,45343,WR,GA SOUTHRN,8,1,0,174,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,70.7,71.4,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Adam Beale,78166,WR,TOLEDO,1,1,0,316,0,,0,,,0,0,,0,0,0,,50.6,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,15.0,0,0.0,,0,0,,0,0,0,,55.9,0,0,0.0,0,2,0,100.0,2,39.6,1,100.0,0,0,0,,,0.0
Jake Molinich,45060,TE,BUFFALO,13,1,0,126,0,,0,,,0,0,,0,0,0,,47.5,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,16.4,40.5,0,0,0.0,0,14,0,92.9,13,0.0,0,0.0,0,0,0,,,0.0
Rashad Wheeler,44525,FB,PITTSBURGH,10,1,0,268,0,,0,,,0,0,,0,0,0,,55.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,51.9,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Mark Patritto,78192,WR,C MICHIGAN,3,1,0,134,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,5.0,0,100.0,,0,0,0.0,0,0,0,70.7,58.6,0,5,0.0,0,5,1,100.0,5,87.5,1,100.0,0,5,0,0.0,5.0,1.0
Drew Schlegel,44292,TE,KENTUCKY,3,1,0,202,0,,0,,,0,0,,0,0,0,,55.5,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,73.1,90.8,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Koby Bullard,44080,TE,BAYLOR,4,1,0,118,0,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,62.7,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Logan Thimons,44055,FB,W VIRGINIA,8,1,0,343,0,,0,,,0,0,,0,0,0,,46.9,0,0,25.0,1,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,52.5,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Anthony Beck II,78452,P,GA SOUTHRN,2,1,0,174,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
John Turner,78484,TE,MIDDLE TN,6,1,0,224,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Joeseph Sewell,78732,TE,MIDDLE TN,5,1,0,224,0,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,56.1,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0
Praise Okorie,78783,WR,LA TECH,5,1,0,208,0,,0,,,0,0,,0,0,0,,48.6,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,51.9,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Devon Jackson,78901,WR,MIDDLE TN,3,1,0,224,0,,0,,,0,0,,0,0,0,,51.6,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,52.3,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Rachuan Mitchell,42909,CB,SO MISS,1,1,0,296,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jacob Adams,79490,TE,LA TECH,5,1,0,208,0,,0,,,0,0,,0,0,0,,40.8,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,52.7,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jackson Sirmon,81458,LB,WASHINGTON,1,1,0,340,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
