player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
DeVonta Smith,61100,WR,ALABAMA,13,145,0,103,0,-2.7,4,100.0,,0,0,0.0,0,16,0,99.9,97.5,0,26,0.0,0,80,35,100.0,80,121.9,35,24.1,2,304,400,11.4,8.7,3.8,12.9,2,78.0,27.3,3,11,2.1,1,36,0,89.8,95.7,1,66,0.0,0,165,46,92.7,153,151.3,59,40.7,12,863,413,9.0,18.8,5.64
Jonathan Adams Jr.,61148,WR,ARK STATE,10,121,0,113,0,-2.4,1,87.5,,0,0,0.0,0,1,0,94.5,57.7,0,5,0.0,0,27,7,96.3,26,79.2,8,6.6,0,18,35,5.0,2.6,0.69,19.3,1,30.0,40.0,2,5,50.0,3,3,0,54.0,80.5,0,32,0.0,0,37,3,89.2,33,97.1,10,8.3,2,73,18,6.0,24.3,2.21
Calvin Austin III,61418,WR,MEMPHIS,11,119,0,218,0,-0.5,2,72.7,66.7,2,3,20.0,2,3,0,25.7,51.6,0,29,0.0,0,47,8,91.5,43,112.3,11,9.2,1,51,55,6.9,6.4,1.19,17.0,2,58.3,25.0,1,4,17.6,3,10,0,55.7,76.8,1,65,0.0,0,96,14,89.6,86,121.7,24,20.2,5,281,83,5.9,20.1,3.27
Jaelon Darden,61522,WR,N TEXAS,9,112,0,251,0,-2.7,6,100.0,,0,0,0.0,0,6,0,99.9,92.9,0,16,0.0,0,23,19,100.0,23,125.4,19,17.0,2,108,160,8.4,5.7,4.7,12.4,19,67.7,0.0,0,7,8.7,6,38,0,71.8,90.4,3,75,0.0,0,243,63,98.4,239,126.6,93,83.0,16,935,433,6.9,14.8,3.91
Jalen Tolbert,61637,WR,S ALABAMA,11,105,0,288,0,-3.0,0,100.0,,0,0,0.0,0,1,0,90.0,50.4,0,7,0.0,0,38,3,100.0,38,83.3,3,2.9,0,12,21,7.0,4.0,0.32,,0,,,0,0,,0,0,0,63.6,66.3,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0
Marlon Williams,55411,WR,UCF,8,104,0,323,0,0.5,4,100.0,,0,0,0.0,0,4,0,99.9,66.9,0,16,0.0,0,60,17,95.0,57,90.0,17,16.3,0,95,87,5.1,5.6,1.67,10.5,22,70.5,27.3,3,11,5.6,4,42,0,83.1,90.2,2,85,0.0,0,335,67,94.3,316,120.5,95,91.3,7,999,438,6.5,14.9,3.16
Taj Harris,77970,WR,SYRACUSE,10,101,0,304,0,1.9,3,92.9,,0,0,7.1,1,3,0,74.9,65.1,0,18,0.0,0,45,13,100.0,45,86.6,14,13.9,0,67,83,6.4,5.2,1.49,6.7,10,68.2,0.0,0,3,6.3,1,11,0,72.9,75.3,1,22,0.0,0,47,15,97.9,46,80.7,22,21.8,1,135,70,4.7,9.0,2.93
Elijah Moore,84302,WR,OLE MISS,8,101,0,226,0,-2.9,4,100.0,,0,0,0.0,0,5,0,99.9,92.1,0,21,0.0,0,44,21,90.9,40,100.6,21,20.8,1,91,151,7.2,4.3,2.28,11.1,13,85.9,72.7,8,11,3.2,2,44,0,93.3,94.0,3,91,0.0,0,269,61,92.9,250,129.3,71,70.3,6,888,345,5.7,14.6,3.55
Seth Williams,84137,WR,AUBURN,11,100,0,115,0,-2.2,0,83.3,,0,0,16.7,1,0,0,39.7,36.0,0,12,0.0,0,75,5,97.3,73,80.6,6,6.0,0,20,31,6.2,4.0,0.27,10.9,6,51.5,28.6,2,7,15.0,3,11,0,57.9,74.1,1,32,0.0,0,103,17,98.1,101,57.8,33,33.0,0,201,81,4.8,11.8,1.99
Amari Rodgers,61212,WR,CLEMSON,12,99,0,140,0,-3.0,8,93.8,,0,0,6.3,2,10,0,86.5,91.2,0,35,0.0,0,88,30,97.7,86,107.9,32,32.3,1,237,327,10.9,7.9,2.76,6.3,17,79.1,20.0,1,5,8.1,6,37,1,72.8,74.2,2,83,0.0,0,353,68,96.6,341,120.8,86,86.9,5,917,584,8.6,13.5,2.69
Billy Kemp IV,77037,WR,VIRGINIA,10,97,0,335,0,-1.5,4,100.0,,0,0,0.0,0,6,1,99.5,98.7,0,29,3.2,1,31,16,93.5,29,98.7,16,16.5,0,123,147,9.2,7.7,4.24,6.0,5,78.8,25.0,1,4,3.7,1,14,1,74.5,76.4,2,29,0.0,0,88,26,94.3,83,83.6,33,34.0,1,254,127,4.9,9.8,3.06
Jaivon Heiligh,84159,WR,COAST CAR,12,93,0,141,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,55.1,0,10,0.0,0,16,1,93.8,15,108.3,1,1.1,0,10,12,12.0,10.0,0.67,12.3,2,57.1,14.3,1,7,15.8,3,11,0,74.6,89.5,0,43,0.0,0,92,16,91.3,84,120.1,28,30.1,4,207,66,4.1,12.9,2.46
Xavier Hutchinson,122518,WR,IOWA STATE,12,93,0,193,0,-1.7,5,100.0,,0,0,0.0,0,3,0,95.9,74.7,0,42,0.0,0,32,9,100.0,32,105.6,9,9.7,0,84,99,11.0,9.3,2.63,8.4,3,76.9,71.4,5,7,9.1,2,10,0,82.7,76.4,0,36,0.0,0,72,20,90.3,65,124.7,26,28.0,2,205,94,4.7,10.3,3.15
Tylan Wallace,61577,WR,OKLA STATE,9,92,0,262,0,-2.5,3,93.3,0.0,0,1,0.0,0,4,0,98.6,79.2,0,18,0.0,0,42,14,100.0,42,90.8,15,16.3,0,87,121,8.6,6.2,2.07,10.8,1,69.2,25.0,1,4,0.0,0,5,0,80.5,84.4,0,55,0.0,0,38,9,97.4,37,122.6,13,14.1,1,116,47,5.2,12.9,3.14
Zay Flowers,97268,WR,BOSTON COL,10,91,0,121,0,-4.9,1,92.3,0.0,0,1,7.7,1,3,0,72.8,89.0,0,27,0.0,0,37,12,100.0,37,89.4,13,14.3,0,71,132,11.0,5.9,1.92,9.5,7,69.0,33.3,1,3,14.7,5,15,0,54.7,70.1,2,46,0.0,0,198,29,92.4,183,90.6,42,46.2,1,432,255,8.8,14.9,2.36
