Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,Shuttle,Cone,Vertical,Broad,Bench
Jarrett Boykin,FA,2012,Combine,74,218,32.25,10.25,4.72,4.28,7.12,36.0,123.0,11.0
Miles Boykin,PIT,2019,Combine,76,220,33.50,9.88,4.42,4.07,6.77,43.5,140.0,12.0
Tyre Brady,FA,2019,Combine,75,211,33.63,9.75,,4.25,,32.0,117.0,12.0
Daniel Braverman,FA,2016,Pro Day,70,175,,,4.47,4.20,6.86,28.5,112.0,10.0
LaVon Brazill,FA,2012,Combine,71,205,32.00,9.75,4.48,,,32.0,,11.0
Dezmon Briscoe,FA,2010,Combine,74,210,33.50,9.50,4.66,4.57,7.10,33.0,115.0,9.0
Kenny Britt,FA,2009,Combine,75,223,34.00,9.00,4.47,4.47,,37.0,124.0,23.0
Noah Brown,DAL,2017,Pro Day,74,225,31.75,9.13,4.57,,,,,
Dyami Brown,WAS,2021,Pro Day,72,195,32.75,9.63,4.46,4.35,6.87,35.0,128.0,18.0
Da'Ron Brown,FA,2015,Combine,72,199,32.00,10.25,4.54,4.11,7.04,37.0,120.0,17.0
Chris Brown,FA,2010,Combine,73,191,29.00,9.13,4.55,,,36.0,115.0,17.0
Marquise Brown,ARI,2019,Combine,69,170,30.50,9.00,,,,,,
Marlon Brown,FA,2013,Combine,77,214,32.75,8.38,,,,,,
John Brown,FA,,Combine,71,178,30.50,8.50,4.34,4.12,6.91,36.5,119.0,
A.J. Brown,PHI,2019,Combine,73,226,32.88,9.75,4.49,,,36.5,120.0,
Vincent Brown,FA,2011,Combine,71,190,33.00,10.25,4.68,4.25,6.64,33.5,121.0,12.0
Antonio Brown,FA,2010,Combine,70,185,31.00,9.00,4.56,4.18,6.98,33.5,105.0,13.0
Tony Brown,FA,2020,Combine,73,195,31.50,9.25,4.65,4.27,7.21,33.5,119.0,14.0
Ryan Broyles,FA,2012,Combine,70,195,32.25,9.00,,,,,,21.0
Martavis Bryant,FA,2015,Combine,76,210,32.63,9.50,4.42,4.15,7.18,39.0,124.0,16.0
Dez Bryant,FA,,Combine,74,220,34.00,9.75,,,,,,
Quenton Bundrage,FA,2016,Pro Day,73,190,,,4.54,4.64,7.07,37.5,123.0,17.0
Aaron Burbridge,FA,2016,Combine,73,208,31.67,8.25,4.56,4.31,7.22,30.5,115.0,20.0
Treylon Burks,TEN,2022,Combine,74,225,33.50,9.88,4.55,,7.28,33.0,122.0,
Nate Burleson,FA,,Combine,72,198,,,4.51,4.16,6.96,42.5,126.0,
Deontay Burnett,FA,2018,Combine,72,186,31.50,8.68,,,,,,
Isaiah Burse,FA,2014,Combine,70,187,30.25,8.38,4.58,3.94,6.74,31.0,115.0,16.0
Stephen Burton,FA,2011,Combine,73,220,32.00,9.13,4.50,4.31,7.04,34.5,117.0,19.0
Rico Bussey,FA,2021,Pro Day,74,190,33.00,10.13,4.49,4.26,7.21,38.5,124.0,13.0
Jeremy Butler,FA,2017,Pro Day,74,213,,,4.60,,7.19,36.0,114.0,15.0
Emmanuel Butler,FA,2019,Combine,76,220,33.00,10.13,,4.22,,36.0,115.0,11.0
James Butler,FA,2005,Combine,74,215,,,4.51,3.98,7.10,40.5,127.0,16.0
Deon Cain,FA,2018,Combine,74,202,33.00,8.75,4.43,4.37,6.71,33.5,115.0,11.0
Andre Caldwell,FA,2008,Combine,72,200,,,4.35,4.11,,33.0,124.0,
Antonio Callaway,FA,2018,Combine,71,200,31.50,9.50,4.41,,,34.0,121.0,
Marquez Callaway,NO,2020,Combine,74,204,32.38,9.38,4.55,,,38.0,,
Jalen Camp,FA,2021,Pro Day,74,220,33.50,9.75,4.45,4.14,7.00,39.5,125.0,29.0
Michael Campanaro,FA,2014,Combine,69,191,30.00,9.75,4.46,4.01,6.77,39.0,122.0,20.0
Parris Campbell,IND,2019,Combine,72,208,32.25,9.50,4.31,4.03,,40.0,135.0,11.0
K.D. Cannon,FA,2017,Pro Day,72,182,30.75,8.88,,,7.10,,,
Darren Carrington,FA,2018,Combine,74,200,32.75,10.38,,,,36.0,120.0,
Leonte Carroo,FA,2016,Combine,72,215,31.38,9.68,4.50,,,35.5,120.0,14.0
Chris Carter,FA,,Combine,72,195,,,4.58,4.34,6.88,36.0,114.0,27.0
Quintez Cephus,DET,2020,Combine,73,208,32.13,8.75,4.73,4.33,7.20,38.5,124.0,23.0
DJ Chark,DET,2018,Combine,76,198,32.38,9.25,4.34,,,40.0,129.0,16.0
Ja'Marr Chase,CIN,2021,Pro Day,73,201,30.75,9.63,4.34,3.99,6.96,41.0,132.0,
Jehu Chesson,FA,2017,Combine,74,204,33.25,9.13,4.47,4.09,6.70,35.5,132.0,10.0
Greg Childs,FA,2012,Combine,75,217,34.13,10.13,4.55,,,36.0,125.0,19.0
Arceto Clark,FA,2013,Pro Day,70,180,,,4.58,4.27,6.66,33.0,110.0,16.0
Kaelin Clay,FA,2015,Combine,70,195,30.88,9.00,4.51,4.26,6.97,33.0,113.0,10.0
Chase Claypool,CHI,2020,Combine,76,238,32.50,9.88,4.42,,,40.5,126.0,19.0
Tyrie Cleveland,FA,2020,Combine,74,205,32.88,9.13,4.47,,,39.5,126.0,13.0
Danny Coale,FA,2012,Combine,72,187,30.63,9.13,4.50,4.15,6.69,35.0,115.0,12.0
