"","player","player_id","position","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","receptions","route_rate","routes","slot_rate","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_rate","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","Year","Height..in.","Weight..lbs.","X40.Yard","Bench.Press","Vert.Leap..in.","Broad.Jump..in.","Shuttle","X3Cone"
"409","Jalen Camp",40986,"WR","GA TECH",10,13,0,61.7,58.3,7,12,0,9.4,3,20,176,0,64.3,71.7,65,60.5,64,0,0,3,59,0.3,1,301,3,29,92.7,279,25.6,77,94.2,47,4,74.1,223,439,123,4.2,15.1,1.57,2021,73.88,226,4.48,29,39.5,125,4.14,7
"410","Damon Hazelton",42194,"WR","MISSOURI",9,12.6,9,65.2,57.1,4,7,0,11.8,4,18,229,0,56.6,72.1,77.1,NA,78.6,0,0,0,33,0,0,170,1,30,95.3,162,10,17,99.6,46,1,90,153,397,129,4.3,13.2,2.45,2021,74.75,206,4.64,NA,37.5,120,4.32,7.11
"411","Tim Jones",61669,"WR","SO MISS",6,10.5,9,68.2,50,6,12,0,6.3,2,23,296,0,72.7,72.1,85.2,NA,88.3,0,0,0,74,0,0,158,0,30,93,147,41.8,66,134.7,44,4,58.2,92,480,224,7.5,16,3.27,2021,72.75,203,4.47,17,40,124,4.14,7.02
"412","Bennett Skowronek",27948,"WR","NOTRE DAME",10,11.9,5,65.9,66.7,6,9,1,6.5,2,19,258,1,71.4,33.2,65.2,55,62.2,0,0,0,73,0,0,318,4,29,94.3,300,7.9,25,136.4,44,5,92.1,293,438,181,6.2,15.1,1.46,2021,74.88,220,NA,13,NA,118,NA,NA
"413","Rondale Moore",62890,"WR","PURDUE",3,2.6,3,79.5,25,1,4,0,0,0,14,273,0,90.6,74.5,80.9,NA,79.7,0,0,1,33,0,0,128,0,35,93.8,120,82.8,106,82.8,44,0,16.4,21,270,241,6.9,7.7,2.25,2021,67,181,4.32,NA,42.5,126,4.1,6.68
"414","Josh Imatorbhebhe",40548,"WR","ILLINOIS",7,12,5,51.2,71.4,5,7,0,15.4,4,13,187,0,48.6,71,66.3,NA,67.5,0,0,0,52,0,0,197,1,22,93.9,185,5.1,10,96.8,43,3,94.9,187,297,129,5.9,13.5,1.61,2021,72.88,218,4.53,24,46.5,134,4.38,7.1
"415","T.J. Vasher",42135,"WR","TEXAS TECH",7,13.2,2,45.2,30,3,10,0,13.6,3,14,315,1,52.3,25.8,60.7,NA,60.9,0,0,4,29,0,0,190,0,19,96.8,184,17.4,33,38.5,42,2,82.6,157,226,114,6,11.9,1.23,2021,77.63,203,NA,NA,37,121,NA,NA
"416","Ihmir Smith-Marsette",61324,"WR","IOWA",7,13.9,5,62.5,50,2,4,0,10.7,3,19,192,1,59.8,43.9,61,NA,63.4,0,0,1,53,0,0,194,4,25,96.4,187,22.2,43,113,40,4,77.8,151,345,128,5.1,13.8,1.84,2021,72.75,181,4.5,10,37,124,4.23,7.06
"417","Brandon Smith",61327,"WR","IOWA",8,11.7,2,57.5,50,4,8,0,14.8,4,17,192,2,49.8,18,60,NA,58.1,0,0,0,19,0,0,230,0,23,95.7,220,5.7,13,90.7,40,2,94.3,217,231,45,2,10,1.05,2021,73.38,218,4.64,21,39,130,NA,NA
"418","T.J. Simmons",47741,"WR","W VIRGINIA",8,10.7,7,63.9,42.9,3,7,0,25.8,8,18,343,1,19.8,29.5,64.8,61,67.2,0,0,0,41,0.6,1,170,0,23,95.3,162,97.6,166,138.8,36,4,2.4,4,401,163,7.1,17.4,2.48,2021,73.38,208,4.59,13,32,120,4.55,7.22
"419","Tre Nixon",40445,"WR","UCF",4,13.8,1,57.6,50,1,2,0,20.8,5,13,323,0,35.4,70.2,63.9,NA,64.1,0,0,0,51,0,0,155,1,19,94.2,146,4.5,7,103.1,33,2,95.5,148,260,54,2.8,13.7,1.78,2021,72.13,187,4.44,18,35.5,125,4.25,6.81
"420","Jaylen Waddle",84088,"WR","ALABAMA",5,11.7,2,87.5,100,4,4,0,3.4,1,22,103,0,79.5,76.3,82.6,NA,84.7,0.7,1,0,90,0,0,141,0,28,95.7,135,68.1,96,158.3,32,4,29.8,42,591,282,10.1,21.1,4.38,2021,69.5,180,NA,NA,NA,122,NA,NA
"421","Marquez Stevenson",41838,"WR","HOUSTON",5,11.6,3,71.4,66.7,2,3,0,4.8,1,12,182,1,75.4,33.7,69.9,NA,70,0,0,0,51,0,0,132,2,20,94.7,125,88.6,117,146,28,4,11.4,15,301,130,6.5,15.1,2.41,2021,70.13,180,4.48,NA,33,122,4.21,6.86
"422","Damonte Coxie",61419,"WR","MEMPHIS",2,11.9,3,64,25,1,4,0,5.9,1,11,218,1,70.9,69.8,71.3,NA,71.3,0,0,0,26,0,0,88,1,16,96.6,85,4.5,4,99.9,25,1,95.5,84,187,20,1.3,11.7,2.2,2021,74.13,198,4.77,4,30.5,122,4.45,6.92
"423","Racey McMath",61401,"WR","LSU",6,16.5,3,56,80,4,5,0,12.5,2,9,211,0,55.7,69,61.2,NA,59.4,0,0,4,30,0,0,157,0,14,96.8,152,12.7,20,55,25,1,87.3,137,195,46,3.3,13.9,1.28,2021,74.5,211,4.39,NA,34,125,4.4,7.37
"424","Tarik Black",61442,"WR","TEXAS",8,17.1,2,41.7,16.7,1,6,0,16.7,2,8,311,2,49.8,9.6,64.6,NA,65,0,0,1,72,0,0,107,2,10,92.5,99,15,16,74,24,1,85,91,234,103,10.3,23.4,2.36,2021,74.75,213,4.54,15,40,132,4.26,6.91
"425","Austin Trammell",52195,"WR","RICE",3,14.3,3,84.2,100,2,2,0,5.9,1,14,275,0,71.9,75.4,89.8,NA,89.1,1.1,1,0,72,0,0,91,0,16,95.6,87,50.5,46,158.3,19,6,48.4,44,335,136,8.5,20.9,3.85,2021,70.13,181,4.62,21,40,124,4.11,6.75
"426","Frank Darby",40988,"WR","ARIZONA ST",3,13.3,3,50,100,1,1,0,14.3,1,3,110,0,53.4,66.2,56.3,NA,57.3,0,0,0,15,0,0,60,0,6,91.7,55,3.3,2,87.5,12,1,96.7,58,46,14,2.3,7.7,0.84,2021,72,201,4.61,19,34.5,117,4.23,7.15
