"","player","player_id","position","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","receptions","route_rate","routes","slot_rate","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_rate","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","Year","Height..in.","Weight..lbs.","X40.Yard","Bench.Press","Vert.Leap..in.","Broad.Jump..in.","Shuttle","X3Cone"
"27","Shane Wynn",9780,"WR","INDIANA",12,11.3,15,65.1,NA,0,0,0,9.7,6,0,190,0,62.9,75.5,74.3,NA,72.9,0,0,1,76,0,0,308,2,56,95.5,294,47.1,145,97.4,86,3,52.9,163,707,378,6.8,12.6,2.4,2015,66,167,4.38,13,36,120,4.25,6.89
"28","Malcome Kennedy",10094,"WR","TEXAS A&M",11,7.4,11,61.9,NA,0,0,0,8.8,5,1,312,0,66.5,74.3,69.4,NA,66.3,0,0,1,60,0,0,365,1,52,96.7,353,98.6,360,102.5,84,6,1.1,4,605,403,7.8,11.6,1.71,2015,71.25,207,4.57,10,31.5,119,4.26,7.1
"29","Kevonte Martin-Manley",14514,"WR","IOWA",13,8.9,5,63.4,NA,0,0,0,5.5,3,0,192,0,76.7,73.9,61.2,NA,61,0,0,1,43,0,0,429,0,52,95.8,411,81.1,348,84.3,82,2,18.9,81,518,216,4.2,10,1.26,2015,72.13,205,4.56,NA,35.5,124,4.21,6.94
"30","Jordan Taylor",9793,"WR","RICE",10,11.1,9,65.9,NA,0,0,0,11.5,7,0,275,1,56.9,47.7,79.1,63.9,77.7,0,0,1,88,0.4,1,282,0,54,97.5,275,91.5,258,123.1,82,7,8.5,24,842,414,7.7,15.6,3.06,2015,76.38,204,4.54,9,36.5,122,4.46,6.69
"31","Rannell Hall",9942,"WR","UCF",10,9.5,10,60.5,NA,0,0,0,7.5,4,0,323,0,69.9,65.1,70.3,70,69.8,0.6,2,5,34,0.6,2,333,2,49,94.3,314,57.4,191,52.5,81,0,36.9,123,500,222,4.5,10.2,1.59,2015,72.38,198,4.6,16,41,132,4.15,6.86
"32","Devante Davis",9745,"WR","UNLV",8,16.1,4,42.5,NA,0,0,0,15,6,0,325,0,55.1,72.4,69.2,NA,69.3,0,0,5,81,0,0,350,2,34,95.7,335,6.9,24,58.9,80,4,93.1,326,591,166,4.9,17.4,1.76,2015,74.88,220,4.57,16,35.5,115,4.12,7.25
"33","Jarrod West",10309,"WR","SYRACUSE",12,13.3,3,61.3,NA,0,0,0,7.5,4,0,304,0,76,73.8,71.2,NA,68.8,0,0,2,51,0,0,373,1,49,95.2,355,13.1,49,78.9,80,0,86.9,324,695,221,4.5,14.2,1.96,2015,73.88,209,4.53,19,35.5,122,4.19,7.06
"34","DeVante Parker",9447,"WR","LOUISVILLE",6,14.4,15,57.3,NA,0,0,0,4.4,2,1,210,0,79.1,73.2,92.2,NA,92.4,0,0,6,71,0,0,206,1,43,97.6,201,10.2,21,86.3,75,5,89.8,185,855,348,8.1,19.9,4.25,2015,74.63,209,4.45,17,36.5,125,NA,NA
"35","Sammie Coates",9520,"WR","AUBURN",12,21.5,9,45.9,NA,0,0,0,12.8,5,0,115,0,55.8,72.6,77.3,61,75.6,0,0,1,68,0.4,1,277,5,34,94.9,263,10.1,28,94.5,74,4,89.9,249,741,128,3.8,21.8,2.82,2015,73.38,212,4.43,23,41,131,4.06,6.98
"36","Geremy Davis",9619,"WR","UCONN",10,13.2,1,60.3,NA,0,0,0,0,0,0,146,0,91.4,73.3,71.5,NA,73.2,0,0,3,39,0,0,257,2,44,96.1,247,19.8,51,78.6,73,3,80.2,206,521,67,1.5,11.8,2.11,2015,74.38,216,4.58,23,36.5,124,4.18,6.86
"37","Nick Harwell",9846,"WR","KANSAS",12,11.8,3,60.3,NA,0,0,0,10.2,5,1,198,0,62.6,74,60.5,70.8,60.5,0.5,2,1,51,0.3,1,390,0,44,96.9,378,87.9,343,96.3,73,5,11,43,470,183,4.2,10.7,1.24,2015,71.25,193,4.57,9,34.5,123,4.2,6.73
"38","Tony Jones",9714,"WR","NWESTERN",10,12.5,1,48.6,NA,0,0,0,14.6,6,0,256,0,48.8,73.5,59.2,NA,58.5,0,0,4,35,0,0,319,1,35,95,303,49.2,157,42.8,72,1,50.8,162,324,77,2.2,9.3,1.07,2015,71.38,197,4.42,NA,NA,NA,NA,NA
"39","Tony Jones",9714,"WR","NWESTERN",10,12.5,1,48.6,NA,0,0,0,14.6,6,0,256,0,48.8,73.5,59.2,NA,58.5,0,0,4,35,0,0,319,1,35,95,303,49.2,157,42.8,72,1,50.8,162,324,77,2.2,9.3,1.07,2020,71,224,4.68,13,32.5,119,4.21,7.18
"40","Andre Davis",9731,"WR","USF",8,16.8,4,50.7,NA,0,0,2,5.3,2,0,327,1,76.2,37.4,74.1,NA,76.3,0,0,3,85,0,0,270,4,36,94.8,256,15.2,41,94.4,71,7,84.4,228,593,207,5.8,16.5,2.32,2015,72.88,207,4.55,NA,32,118,4.33,7.09
"41","Kaelin Clay",9617,"WR","UTAH",13,10.2,5,61.4,NA,0,0,0,8.5,4,1,328,2,66.4,28.7,59.7,NA,60.6,0,0,2,78,0,0,339,3,43,96.5,327,89.7,304,91.4,70,4,10.3,35,520,244,5.7,12.1,1.59,2015,69.63,195,4.51,10,33,113,4.26,6.97
"42","Nigel King",9817,"WR","KANSAS",12,16.9,4,43.5,NA,0,0,0,11.8,4,0,198,0,57.5,71.9,64.5,NA,63.2,0,0,1,78,0,0,355,1,30,97.5,346,6.8,24,69.5,69,1,93.2,331,537,205,6.8,17.9,1.55,2015,74.13,213,4.57,15,39.5,128,4.38,NA
"43","Kyle Prater",10164,"WR","NWESTERN",11,9.2,2,76.1,NA,0,0,0,5.6,3,0,256,2,77.2,26.8,71.1,63.9,71.1,0.3,1,0,29,0.3,1,332,3,51,95.2,316,4.2,14,109.4,67,2,95.5,317,546,160,3.1,10.7,1.73,2015,77.13,228,4.58,20,31,121,4.24,7.07
"44","Phillip Dorsett",9462,"WR","MIAMI FL",13,18.9,3,53.7,NA,0,0,0,2.7,1,0,220,0,83.6,73.2,72.9,NA,71.6,0,0,1,79,0,0,386,0,36,96.9,374,22.8,88,132.3,67,10,77.2,298,871,360,10,24.2,2.33,2015,69.75,185,4.33,13,37,122,4.11,6.7
"45","Dominic Rufran",15683,"WR","WYOMING",12,10.2,5,68.2,NA,0,0,0,8.2,4,0,351,1,67.8,47.5,68,NA,68.5,0,0,0,88,0,0,346,0,45,96.5,334,41,142,96.5,66,0,58.1,201,596,251,5.6,13.2,1.78,2015,71.5,188,4.55,18,33.5,121,4.29,7.21
"46","DeAndrew White",9697,"WR","ALABAMA",11,10,5,63.5,NA,0,0,0,9.1,4,1,103,1,65.7,43.5,69.8,60.9,67.2,0,0,1,58,0.3,1,328,1,40,97,318,39.3,129,102.9,63,4,60.7,199,504,215,5.4,12.6,1.58,2015,71.5,193,4.44,NA,34.5,118,4.18,6.97
"47","DeAndre Smelter",9565,"WR","GA TECH",12,17,5,56.5,NA,0,0,0,5.4,2,0,176,0,68.9,73.5,90.9,78.1,90.2,0,0,1,71,4.9,9,182,0,35,89.6,163,5.5,10,128.1,62,7,88.5,161,715,239,6.8,20.4,4.39,2015,74.13,226,4.58,NA,NA,NA,NA,NA
"48","Michael Bennett",10310,"WR","GEORGIA",13,9.9,2,66.1,NA,0,0,0,5.1,2,0,173,0,76.7,72.7,70.1,NA,69.6,0,0,1,30,0,0,277,1,37,97.5,270,61.4,170,103.6,56,4,38.6,107,404,120,3.2,10.9,1.5,2015,73.63,202,4.59,NA,NA,NA,NA,NA
"49","Chris Conley",9509,"WR","GEORGIA",13,16.8,2,66.7,NA,0,0,0,10,4,0,173,1,62,36.6,74.2,NA,73.6,0.4,1,1,48,0,0,274,0,36,96.4,264,23.4,64,140.2,54,8,75.9,208,657,159,4.4,18.3,2.49,2015,73.88,213,4.35,18,45,139,4.3,7.06
"50","J.J. Worton",11404,"WR","UCF",10,7.5,13,67.9,NA,0,0,0,7.7,3,0,323,0,69.4,72.6,68,NA,67.8,0.9,3,1,73,0,0,316,1,36,92.7,293,88.6,280,122.6,53,5,9.8,31,513,282,7.8,14.3,1.75,2015,73,209,4.63,NA,NA,NA,NA,NA
"51","Jameon Lewis",14749,"WR","MISS STATE",10,7,5,64,NA,0,0,0,15.8,6,1,227,0,45.9,74.5,65.2,NA,64.4,0,0,3,74,0,0,211,0,32,97.2,205,97.6,206,75.4,50,2,1.4,3,380,258,8.1,11.9,1.85,2015,68.25,184,4.57,11,29,110,4.43,7.21
"52","Levi Norwood",10009,"WR","BAYLOR",10,8.2,7,72.9,NA,0,0,0,2.8,1,0,118,0,82.7,72.7,69,NA,68.1,0,0,1,31,0,0,247,0,35,94.7,234,90.3,223,95.7,48,2,9.7,24,319,111,3.2,9.1,1.36,2015,72.5,193,4.52,NA,34.5,123,4.19,6.78
"53","Devin Smith",9470,"WR","OHIO STATE",15,23.8,2,68.8,NA,0,0,0,5.7,2,0,260,0,74.5,72.2,80.7,NA,82.6,0.4,1,2,80,0,0,264,0,33,97.3,257,22.3,59,133.7,48,12,76.9,203,931,231,7,28.2,3.62,2015,72.38,196,4.42,10,39,122,4.15,6.83
"54","Keanon Lowe",15073,"WR","OREGON",12,11.3,2,59.6,NA,0,0,0,12.5,4,0,264,0,63.4,72,63.3,NA,61.4,1.3,4,1,57,0,0,299,1,28,96,287,46.5,139,114.9,47,5,52.2,156,413,197,7,14.8,1.44,2015,68.88,186,4.46,10,35.5,108,4.33,6.94
"55","Damiere Byrd",9964,"WR","S CAROLINA",13,20.5,2,43.5,NA,0,0,1,16.7,4,0,289,1,44.4,31.9,60.2,NA,58.7,0,0,1,46,0,0,192,2,20,95.3,183,4.7,9,79,46,3,94.8,182,309,66,3.3,15.5,1.69,2015,69.25,162,4.39,13,42,131,4.09,6.59
"56","Quinton Dunbar",10073,"WR","FLORIDA",10,16.9,3,46.7,NA,0,0,0,22.2,6,0,163,0,29.3,70.4,57.8,64.4,57.5,0.4,1,3,70,0.4,1,230,1,21,96.5,222,5.2,12,60.7,45,2,94.3,217,353,94,4.5,16.8,1.59,2015,73.63,195,4.44,7,35,120,4.16,7.1
"57","Ezell Ruffin",9706,"WR","S DIEGO ST",7,14.8,3,57.8,NA,0,0,0,7.1,2,0,284,0,70.1,72.2,80.4,61,80.3,0.5,1,2,59,0.5,1,187,1,26,95.2,178,42.2,79,85.6,45,2,57.2,107,422,96,3.7,16.2,2.37,2015,71.63,218,4.68,17,27.5,110,4.58,7.35
"58","Darren Waller",9637,"WR","GA TECH",12,19.6,2,57.8,NA,0,0,0,0,0,0,176,0,89,71.3,83.7,78.7,86.3,0,0,2,55,2.7,5,183,2,26,91.3,167,2.2,4,112.2,45,6,95.1,174,442,86,3.3,17,2.65,2015,78.13,238,4.46,12,37,125,4.25,7.07
"59","Dres Anderson",9690,"WR","UTAH",7,15.1,3,50,NA,0,0,0,18.5,5,0,328,0,48.5,71.2,60.8,NA,60.5,0,0,2,48,0,0,218,0,22,95.4,208,10.6,23,88.7,44,4,89.4,195,355,79,3.6,16.1,1.71,2015,73.13,187,4.53,13,NA,121,4.22,6.83
"60","Keith Mumphery",9608,"WR","MICH STATE",13,16.1,4,60.5,NA,0,0,0,7.1,2,0,223,0,70.1,73.7,72.8,NA,70.7,0,0,1,62,0,0,237,0,26,97.5,231,20.3,48,114,43,3,78.9,187,495,143,5.5,19,2.14,2015,71.63,215,4.54,15,32.5,121,4.25,7.07
"61","Shakim Phillips",10146,"WR","BOSTON COL",12,23.4,0,35.1,NA,0,0,0,18.8,3,0,121,0,44,69.7,68.2,NA,69.5,0,0,4,49,0,0,129,0,13,94.6,122,39.5,51,59.6,37,4,60.5,78,282,57,4.4,21.7,2.31,2015,73,206,4.42,17,39,127,4.33,6.97
"62","Justin McCay",15802,"WR","KANSAS",12,11.5,2,48.6,NA,0,0,1,10,2,0,198,0,61.5,69.9,52.4,NA,50.8,0,0,3,60,0,0,291,2,18,96.6,281,7.2,21,48.1,37,2,92.8,270,189,107,5.9,10.5,0.67,2015,74.13,210,4.54,12,33,113,4.58,7.33
"63","Evan Spencer",9620,"WR","OHIO STATE",15,12.4,1,41.7,NA,0,0,0,11.8,2,0,260,0,57.3,69.3,58.9,34.4,53.1,0.7,2,2,22,0,0,283,0,15,96.1,272,33.6,95,58.7,36,3,65.4,185,149,81,5.4,9.9,0.55,2015,73.38,208,4.54,20,35,124,4.29,7.03
"64","Demetrius Wilson",10137,"WR","ARKANSAS",12,13.3,3,47.2,NA,0,0,0,5.6,1,1,111,0,71.9,69.7,66.1,NA,63.2,0,0,1,36,0,0,181,0,17,97.2,176,6.6,12,64.6,36,1,93.4,169,220,51,3,12.9,1.25,2015,73.38,185,4.49,4,35,124,4.34,6.65
"65","Kasen Williams",10195,"WR","WASHINGTON",14,11.5,2,52.8,NA,0,0,0,0,0,0,340,0,75.2,70.4,63.4,33.2,61.5,0.4,1,2,19,0.4,1,231,1,19,95.2,220,22.9,53,63,36,2,76.6,177,186,63,3.3,9.8,0.85,2015,73.5,219,4.54,17,35.5,119,4.47,7.05
"66","George Farmer",9842,"WR","USC",11,7.5,5,83.3,NA,0,0,0,7.4,2,0,326,0,69.4,72.1,63.3,NA,65.4,0.5,1,0,48,0,0,203,3,25,97.5,198,14.8,30,149.9,30,4,83.7,170,314,127,5.1,12.6,1.59,2015,72.75,220,4.38,19,34.5,123,4.27,7
"67","Clay Fuller",14142,"WR","BAYLOR",10,13.1,2,65,NA,0,0,0,7.1,1,0,118,0,68.7,69,69.9,NA,69.4,0,0,0,28,0,0,111,0,13,92.8,103,92.8,103,96.7,20,0,7.2,8,194,70,5.4,14.9,1.88,2015,73,210,4.55,NA,NA,NA,NA,NA
"68","Tacoi Sumler",13854,"WR","APP STATE",12,8.2,3,72.2,NA,0,0,0,7.1,1,0,108,0,67.8,68.7,63.4,NA,62.5,0,0,1,32,0,0,125,0,13,92.8,116,48,60,109,18,2,52,65,142,64,4.9,10.9,1.22,2015,67.63,175,4.42,13,33,118,4.4,6.96
"69","Jackie Williams",39232,"WR","UCF",10,10.4,0,50,NA,0,0,0,12.5,1,0,323,0,56.4,19.4,52.2,NA,56.6,0,0,3,17,0,0,81,1,7,95.1,77,87.7,71,44.6,14,1,12.3,10,56,28,4,8,0.73,2015,69.63,190,4.59,17,39.5,129,4.34,6.58
"70","Christian Green",14392,"WR","FLORIDA ST",6,14.4,0,60,NA,0,0,0,25,2,0,167,0,33.8,66.2,53.8,NA,55.3,0,0,0,62,0,0,142,0,6,96.5,137,9.2,13,135.4,10,1,90.8,129,120,32,5.3,20,0.88,2015,72.75,196,4.54,16,34,122,4.45,7.04
"71","Matt Milton",14675,"WR","LOUISVILLE",11,16.9,0,42.9,NA,0,0,0,25,1,0,210,0,40.2,64.1,52.3,NA,52.4,0,0,0,45,0,0,115,0,3,98.3,113,3.5,4,88.4,7,0,96.5,111,85,37,12.3,28.3,0.75,2015,77.38,205,4.62,16,36,126,4.53,6.92
"72","Andre Debose",9654,"WR","FLORIDA",5,20,0,20,NA,0,0,0,50,1,0,163,0,24.5,66.3,43.5,NA,44.4,0,0,0,-3,0,0,17,0,1,100,17,23.5,4,39.6,5,0,76.5,13,-3,1,1,-3,-0.18,2015,71.63,190,4.49,12,37.5,123,4.09,6.93
"73","Andre Davis",18451,"WR","KANSAS ST",6,11.2,0,40,NA,0,0,0,33.3,1,0,199,0,31.6,62.9,57.3,NA,57,0,0,0,9,0,0,24,0,2,100,24,12.5,3,47.9,5,0,87.5,21,14,0,0,7,0.58,2015,72.88,207,4.55,NA,32,118,4.33,7.09
"74","Tajae Sharpe",10774,"WR","UMASS",12,11.4,9,63.3,NA,0,0,0,2.6,3,69,216,0,91.5,77.8,88.1,63.5,89.1,0.2,1,5,49,0.2,1,557,4,112,95.2,530,30.9,172,83.2,177,5,68.9,384,1307,330,2.9,11.7,2.47,2016,74,194,4.55,11,33.5,114,NA,NA
"75","Keyarris Garrett",11008,"WR","TULSA",13,15.5,21,59.6,NA,0,0,0,3,3,62,320,2,86.7,42.4,79.9,NA,80.6,0,0,4,50,0,0,589,3,96,93.5,551,5.3,31,99,161,8,94.7,558,1583,436,4.5,16.5,2.87,2015,75,206,4.64,14,36.5,128,4.33,7.3
"76","Keyarris Garrett",11008,"WR","TULSA",13,15.5,21,59.6,NA,0,0,0,3,3,62,320,2,86.7,42.4,79.9,NA,80.6,0,0,4,50,0,0,589,3,96,93.5,551,5.3,31,99,161,8,94.7,558,1583,436,4.5,16.5,2.87,2016,75.38,220,4.53,14,36.5,128,4.33,7.3
"77","Aaron Burbridge",10847,"WR","MICH STATE",14,12.2,7,58.2,NA,0,0,0,10.5,10,61,223,2,60.3,41.8,85.4,NA,85.7,0.2,1,2,56,0,0,466,2,85,94.6,441,18.5,86,96.8,146,7,81.1,378,1258,300,3.5,14.8,2.85,2016,72,206,4.56,20,30.5,115,4.31,7.22
"78","Daniel Braverman",10864,"WR","W MICHIGAN",13,7.7,24,78.5,NA,0,0,0,6.2,7,66,347,1,78.4,61.4,91.2,NA,91.4,0,0,3,68,0,0,459,0,106,95,436,96.3,442,131.8,135,13,3.7,17,1370,711,6.7,12.9,3.14,2016,69.88,175,4.53,10,28.5,112,4.16,6.88
"79","Tyler Boyd",10689,"WR","PITTSBURGH",12,9.1,6,71.8,NA,0,0,0,5.1,5,52,268,0,81.9,68.7,89.9,NA,90.3,0.3,1,5,51,0,0,361,3,94,95.8,346,45.4,164,91.1,131,6,51.2,185,940,418,4.4,10,2.72,2016,73.5,197,4.58,11,34,119,4.35,6.9
"80","Geronimo Allison",11141,"WR","ILLINOIS",12,11.6,6,51.2,NA,0,0,1,15.6,12,41,187,1,42.4,52,66.6,NA,65.6,0,0,3,53,0,0,517,3,65,95.9,496,12.2,63,71.6,127,3,87.8,454,879,319,4.9,13.5,1.77,2016,75.25,196,4.67,NA,33,127,4.28,7.4
"81","Nelson Spruce",11199,"WR","COLORADO",13,9.9,10,70.6,NA,0,0,0,4.3,4,60,143,0,88.4,76.5,82.3,NA,83,0.4,2,5,50,0,0,527,2,89,95.6,504,6.3,33,89.9,126,4,93.2,491,1056,312,3.5,11.9,2.1,2016,73.13,206,4.69,12,35,114,4.2,7.09
"82","Jakeem Grant",10820,"WR","TEXAS TECH",13,7.2,33,72.6,NA,0,0,1,9.1,9,46,315,1,69.6,66,80.9,NA,79.2,0,0,2,90,0,0,477,1,90,96,458,90.6,432,124.8,124,10,6.7,32,1253,870,9.7,13.9,2.74,2016,65.88,165,4.37,15,36.5,117,4.03,7.03
"83","Jordan Payton",10788,"WR","UCLA",13,12.8,16,63.4,NA,0,0,0,4.9,4,54,324,0,81.7,75.9,88.3,NA,86.2,0,0,4,59,0,0,505,1,78,94.7,478,4.2,21,92.6,123,5,95.8,484,1113,394,5.1,14.3,2.33,2016,73.13,207,4.47,NA,34.5,121,4.33,7.08
"84","Laquon Treadwell",10657,"WR","OLE MISS",13,11.2,17,67.2,NA,0,0,0,9.9,9,54,226,1,63.2,56.3,85.3,60.9,85.2,0.2,1,6,58,0.2,1,494,6,82,95.1,470,7.9,39,106.9,122,11,91.9,454,1148,442,5.4,14,2.44,2016,74,221,4.64,12,33,117,4.3,7.04
"85","Sterling Shepard",10674,"WR","OKLAHOMA",13,10.4,12,72.9,NA,0,0,0,4.4,4,64,261,0,83.4,76.4,91.5,65.9,90.8,0,0,1,74,0.4,2,469,1,86,95.5,448,71,333,135.9,118,11,29,136,1289,495,5.8,15,2.88,2016,70.25,194,4.48,20,41,123,4.35,7
"86","Corey Coleman",10649,"WR","BAYLOR",12,14.5,13,63.8,NA,0,0,0,11.9,10,51,118,0,56.9,79.5,90,61.1,90.4,0,0,3,81,0.3,1,367,3,74,93.2,342,26.7,98,133.1,116,20,71.9,264,1365,569,7.7,18.4,3.99,2016,70.63,194,4.4,17,40.5,129,NA,NA
"87","Mike Thomas",10840,"WR","SO MISS",13,14.2,8,62.8,NA,0,0,0,9,7,56,296,0,67.3,75.6,84.8,61,85.4,0,0,4,69,0.2,1,492,3,71,94.7,466,16.3,80,130.6,113,14,83.7,412,1392,508,7.2,19.6,2.99,2016,73.25,193,4.54,16,36,126,4.26,7.06
"88","Pharoh Cooper",10751,"WR","S CAROLINA",12,10.5,14,59.5,NA,0,0,0,7,5,37,289,0,73.3,61.9,76.7,NA,82,0,0,5,78,0,0,396,3,66,94.9,376,84.8,336,93.6,111,8,11.9,47,978,514,7.8,14.8,2.6,2016,71.13,203,4.65,15,31,115,4.26,7.15
"89","Hunter Sharp",11078,"WR","UTAH ST",11,12,11,64,NA,0,0,0,6.6,5,33,329,1,74.3,57.5,78.3,NA,79.8,1.2,4,3,49,0,0,339,1,71,95.6,324,17.4,59,102.6,111,9,79.4,269,839,372,5.2,11.8,2.59,2016,71.5,198,4.58,12,32.5,116,4.19,7.12
"90","Josh Doctson",10656,"WR","TCU",10,15.2,9,72.2,NA,0,0,0,7.1,6,62,305,0,77.4,76.3,92.9,NA,93,0,0,1,55,0,0,347,3,78,93.7,325,5.8,20,149.2,108,14,93.9,326,1327,310,4,17,4.08,2016,74,202,4.5,14,41,131,4.08,6.84
"91","Rashard Higgins",10806,"WR","COLO STATE",12,12.4,8,70.1,NA,0,0,0,3.8,3,58,144,0,84.6,75.8,91.3,NA,91.4,0.3,1,1,46,0,0,326,2,75,94.5,308,14.1,46,122.9,107,8,85.3,278,1062,349,4.7,14.2,3.45,2016,73.38,196,4.64,13,32,116,4.52,7.19
"92","D.J. Foster",11214,"WR","ARIZONA ST",13,7.8,13,54.7,NA,0,0,0,13.4,9,29,110,0,51.5,83.3,64.4,75.5,64.1,0.5,2,1,33,1.1,4,378,2,58,96.8,366,49.2,186,75.4,106,3,40.5,153,565,332,5.7,9.7,1.54,2016,70.25,193,4.57,14,35.5,117,4.07,6.75
"93","Mitch Mathews",11179,"WR","BYU",13,18.3,0,52.4,NA,0,0,0,8.5,5,36,128,0,68.2,74.3,70.8,NA,70.4,0,0,2,72,0,0,469,2,54,94.5,443,15.1,71,103.1,103,11,84.9,398,737,126,2.3,13.6,1.66,2016,77.63,222,4.49,12,36,129,4.25,6.99
"94","Devin Lucien",10859,"WR","ARIZONA ST",13,13,9,67.3,NA,0,0,0,4.3,3,48,110,1,77.9,52.3,82.3,NA,83.9,0,0,3,59,0,0,416,2,66,97.4,405,3.1,13,118.3,98,8,96.9,403,1074,365,5.5,16.3,2.65,2016,72.5,201,4.49,13,34.5,117,4.3,6.93
"95","Jaydon Mickens",11371,"WR","WASHINGTON",13,9.2,7,61.1,NA,0,0,0,13.4,9,37,340,0,52.6,76.3,74.8,61,75.2,0,0,4,43,0.3,1,374,0,58,96.5,361,73.3,274,72.7,95,2,23.5,88,691,278,4.8,11.9,1.91,2016,69.88,174,4.54,13,35.5,121,3.93,6.62
"96","Cayleb Jones",11075,"WR","ARIZONA",13,14.6,9,57.9,NA,0,0,0,11.3,7,38,109,0,58.1,74.3,71.4,NA,70.8,0,0,1,78,0,0,472,2,55,95.6,451,9.5,45,103.7,95,5,90.5,427,918,326,5.9,16.7,2.04,2016,74.63,209,4.65,9,33.5,112,4.14,6.99
"97","Malcolm Mitchell",10746,"WR","GEORGIA",13,13.4,13,61.7,NA,0,0,1,4.9,3,45,173,1,79.5,49.7,86.4,NA,87.4,0,0,3,44,0,0,331,4,58,97.9,324,8.2,27,96.3,94,5,91.8,304,865,285,4.9,14.9,2.67,2016,71.63,198,4.45,15,36,129,4.34,6.94
"98","Bralon Addison",11013,"WR","OREGON",13,10.7,13,69.2,NA,0,0,0,6,4,37,264,1,76.3,40.2,81.1,NA,79.6,0.5,2,1,48,0,0,385,4,63,95.6,368,67,258,128.6,91,10,31.2,120,804,342,5.4,12.8,2.18,2016,69.25,197,4.66,13,34.5,116,4.14,6.95
"99","Jamal Robinson",10900,"WR","LA LAFAYET",12,14.2,10,59.3,NA,0,0,0,6.9,4,32,207,1,72.6,47.4,77,NA,77.7,0.3,1,3,64,0,0,322,4,54,95,306,2.8,9,93.5,91,5,96.9,312,816,239,4.4,15.1,2.67,2015,75,205,4.57,NA,NA,NA,NA,NA
"100","Kenny Lawler",10877,"WR","CAL",13,12.1,3,59.8,NA,0,0,0,10.3,6,43,130,1,61.9,48.4,71.7,NA,71.9,0,0,5,52,0,0,417,2,52,94.7,395,1.2,5,99,87,13,98.8,412,658,179,3.4,12.7,1.67,2016,74.5,203,4.64,NA,31,111,4.2,7.13
"101","Quinshad Davis",11131,"WR","N CAROLINA",14,10.6,4,65.5,NA,0,0,0,3.5,2,38,245,0,83.4,74.2,79.6,NA,79.2,1.6,5,5,40,0,0,321,4,55,94.7,304,4.7,15,79.4,84,4,93.8,301,638,142,2.6,11.6,2.1,2016,75.38,218,4.69,17,31.5,113,4.35,7.07
"102","Michael Thomas",10681,"WR","OHIO STATE",13,11,13,67.5,NA,0,0,0,6.7,4,39,260,0,73.5,74.3,83.4,NA,83.4,0,0,0,50,0,0,320,1,56,96.3,308,6.3,20,133.7,83,9,93.8,300,781,271,4.8,13.9,2.54,2016,74.75,212,4.57,18,35,126,4.13,6.8
"103","Rashawn Scott",11211,"WR","MIAMI FL",13,11.5,5,62.7,NA,0,0,1,7.1,4,33,220,1,71.2,46.8,76.4,63.9,76.8,0,0,2,58,0.3,1,363,3,52,95.3,346,8.8,32,99.3,83,5,91.2,331,697,236,4.5,13.4,2.01,2016,72.88,199,4.54,17,32.5,116,4.33,6.88
"104","Ricardo Louis",10748,"WR","AUBURN",13,15.8,8,56.8,NA,0,0,0,11.5,6,28,115,1,56.8,27.5,76,63.9,80.8,0,0,1,56,0.5,1,212,1,46,96.2,204,11.3,24,93.5,81,3,88.7,188,717,198,4.3,15.6,3.51,2016,73.75,215,4.43,18,38,132,4.32,7.07
"105","Charone Peake",10875,"WR","CLEMSON",15,12.6,4,61.7,NA,0,0,0,9.1,5,31,140,0,65.9,73.9,72.1,NA,70.4,0,0,3,64,0,0,388,0,50,95.4,370,4.4,17,95.9,81,5,95.6,371,723,269,5.4,14.5,1.95,2016,74.38,209,4.45,12,35.5,122,4.46,6.96
"106","Chris Brown",11118,"WR","NOTRE DAME",13,11.7,4,60,NA,0,0,0,7.7,4,33,258,1,69.4,44.2,76.2,NA,76.3,0,0,2,38,0,0,300,1,48,96,288,18.3,55,89.4,80,4,81.7,245,597,230,4.8,12.4,2.07,2016,74,194,4.5,14,33.5,130,4.41,7.37
"107","Canaan Severin",10896,"WR","VIRGINIA",12,13.4,0,67.9,NA,0,0,0,5.4,3,38,335,0,78.4,74.3,80.6,NA,80.7,0,0,5,38,0,0,355,0,53,95.8,340,63.1,224,106,78,8,36.9,131,746,125,2.4,14.1,2.19,2016,74.13,212,NA,NA,NA,NA,NA,NA
"108","Demarcus Robinson",10760,"WR","FLORIDA",13,10.6,10,63.2,NA,0,0,0,9.4,5,30,163,1,64.5,45.9,68.5,NA,68.7,0,0,4,38,0,0,360,1,48,96.4,347,15.3,55,70.2,76,2,84.7,305,523,274,5.7,10.9,1.51,2016,73.38,203,4.59,9,34.5,123,4.19,6.77
"109","Bryce Treggs",11278,"WR","CAL",13,17.3,1,61.6,NA,0,0,0,15.1,8,35,130,0,48,73.6,71.1,NA,71.3,0.6,2,4,80,0,0,353,3,45,94.6,334,89.5,316,114.7,73,7,9.6,34,959,229,5.1,21.3,2.87,2016,71.38,190,4.39,16,34,122,4.19,7
